Media;PostLink;Content;Date;Type;Likes;Comments;Interactions;Engagement;Duracion
https://scontent-lhr11-1.cdninstagram.com/o1/v/t16/f2/m84/AQMkIaZ5DzPFQIs4Bs9t402HZnP7evYn2on0D1LhQuzS-cTxIFTCkGla09lAOMhUt36rqaUPDOIdGn-hYeNbOOgOK5MRL5t_1NTplS0.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_ohc=xKFVBuA5m-8Q7kNvwGCbFLV&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjUzMDEzNDg0NDEyMDYxMSwiYXNzZXRfYWdlX2RheXMiOjEsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo0MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=db5352cfa8083d69&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9ERDQzMEZERUQ3RTE5RUE0MjM2Mjg0QTdBQkFERDdBN192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0EyNDRCNjA2NDcxRTQ5RDE0RjI0QTY0M0YzRkQzOUE5X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbG-PDJncn-CBUCKAJDMywXQEWZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=-gJqLKJopRA-UH9UGHh5ZA&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQGk8uGsaINfFK47akjCZKQqLjcDsiePBWQkKILFGQjObw&oe=6A8F8297;https://www.instagram.com/reel/DcY3RLGKePL/;Comenta la palabra ‘DESESTIMIENTO DE ASILO’ en este video para más informaciónSígueme para más informacióngestoriaparainmigrantes#autonomos #migrantes #españa #residencia #regularización;2026-08-23 11:00;Reel;233;113;346;;0:43
https://scontent-lhr6-1.cdninstagram.com/o1/v/t16/f2/m84/AQMqMUKHitiZzegZzDwKjF_7IGMDjaKzSf3yhhgAeTQr0MDVU0aFDdEJowv1YKsLW2jEDj2Zm014joYqQUA8cdu4U4km6fJc-B6noNc.mp4?_nc_cat=102&_nc_sid=5e9851&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_ohc=NAOwkRP6uD8Q7kNvwHMUtIt&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTU5MDcyOTg0NjAzNTAxOSwiYXNzZXRfYWdlX2RheXMiOjIsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo1NiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=d9155013d948b0c4&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GNDRDM0Y4RkNCQjc5RTRGMzcwMTUyMkZBQjczMEVCOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzUwNDI4MkM0NEI3MzM1MjYzQUFFQzJCN0EyMjUzRUEzX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaWycD21LDTBRUCKAJDMywXQExAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=KXkfqiAxA71PJaKWYhaL3A&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQGGqV6z1krZ6b92--ogksU3Qx5UICyAZJpcY49r2v5WVA&oe=6A8F7092;https://www.instagram.com/reel/DcWV3wIq5AX/;Comenta en este video la palabra AUTÓNOMO  y te damos más información ☺️Sígueme para más informacióngestoriaparainmigrantes#autonomos #migrantes #españa #residencia #regularización;2026-08-22 11:29;Reel;88;20;108;;0:56
https://scontent-lhr6-2.cdninstagram.com/o1/v/t16/f2/m84/AQMJz7aVzQyhPnVguCgnvJoYA4rRsIEDlMBdfmnA-u-pH6jmyYQzF1zroUGhom2j2TgDeLCNluPRBTa5DRUPJVHtRrDWWzQiyIYpoBY.mp4?_nc_cat=109&_nc_sid=5e9851&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_ohc=SI1pdWKDXxEQ7kNvwECXIfZ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6OTk0MjI3NjEzNjM4Mjk3LCJhc3NldF9hZ2VfZGF5cyI6MywidmlfdXNlY2FzZV9pZCI6MTA4MjcsImR1cmF0aW9uX3MiOjc3LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=8b9b5e8a6c58cf66&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yQTQzNTkyQjkwQkQzRkQ1NUMzMDlCNzMwRjJBNDQ5Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzkzNDIzOUE2MEIzQjk1RTVEMThCNTk4QjNFRDYxNEE1X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACay-uT71I_EAxUCKAJDMywXQFN3bItDlYEYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=_oSpTSh3hbcVzv4xylIzDw&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQFFgQhOw-7nW8oeeOVj-x0vaSrRUfZ8R0x55AOOCNAf8w&oe=6A8F709F;https://www.instagram.com/reel/DcTuBDxqpAP/;⚠️🚨 Atención mucho cuidado autónomos ⚠️🚨Comenta la palabra ‘Autónomos’ y te enviamos más información Sígueme para más informacióngestoriaparainmigrantes#autonomos #migrantes #españa #residencia #regularización;2026-08-21 11:04;Reel;235;40;275;;1:18
https://scontent-lhr11-1.cdninstagram.com/o1/v/t16/f2/m84/AQP0IBjTA-G26eIqfewARwc6fj3y-HlKEaxQkjBFUI2CgrXiPMpUnMu3MnBUj3xzro9_tkg0Qtz0GidOw_g9ctfa64kI5F4Q4XOQEDc.mp4?_nc_cat=107&_nc_sid=5e9851&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_ohc=aPKUD6H9SfYQ7kNvwEsoIri&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjMxNTA0MzY4MjU4OTM1MCwiYXNzZXRfYWdlX2RheXMiOjYsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo1OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=a0ae95adbe43c1dc&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9DQzQ1MkNERjg0Qjc1NTRDNENCQzQ3QUU3MzRFNEY4MV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzFDNEU4MTgyNDJEQTEzRTU5NTQwNkM4ODAwNkNFQjhCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbM6rjFo-GcCBUCKAJDMywXQE0ZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=fn9ifXm0LTYE1716fLYWJA&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQFvjq5jFHyUJcJAgDOFOMB_GPxrSRH3Dst2h5rTPgW7QA&oe=6A8F9E71;https://www.instagram.com/reel/DcMEGJIKq_t/;Comenta la palabra AUTÓNOMO Y TE ENVÍO MAS INFORMACIÓN 🔔Sígueme para más información gestoriaparainmigrantes #regularización #autonomo #renovacionregularizacion;2026-08-18 11:47;Reel;615;211;826;;0:58
https://scontent-lhr11-1.cdninstagram.com/o1/v/t16/f2/m84/AQMVy7RI8wyzGRpA4HkRNRM0p1a-WZZkVwKCi9FxpFc2LOPETcug_3UTmvHmXR_P5ow5aDkKf3oafjjcNoX0QBPWDHeZtAVdT7L0Rl4.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_ohc=ymL-ra8e3D4Q7kNvwENBCGi&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTUyNjM5MjI0NTM4MTg2MCwiYXNzZXRfYWdlX2RheXMiOjksInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo1MiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=5065a2b1e6531142&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9DQzQ4OUM0MDlFMjRCMTAyNUI5NkFFNDNBRjlEODg5MV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0NENDJFQTIwNTAxNkQ5QkQwQTg2RUUxMTc3ODAyMTg2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbIq5e53I-2BRUCKAJDMywXQEp7peNT988YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=Csow-Kl_FYq3yJucg_z-jg&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQEple-2IHiuJzv-jVQ_lEShHdQdL6H6MOP381VowP7-SA&oe=6A8F839E;https://www.instagram.com/reel/DcF-4V-q666/;Estados de la Regularización – Video 6: ARCHIVADO🗂️🗂️Sígueme para más informacióngestoriaparainmigrantes#colombianosenelexterior #migrantes #españa #residencia #regularización;2026-08-16 03:01;Reel;170;12;182;;0:53
https://scontent-lhr11-1.cdninstagram.com/o1/v/t16/f2/m84/AQPbtO8TQrc8IlMsvj6Uo6mcAoJ3me70FdOEMtaaooLne90aZpetfH3a4XM2tHRxKYHN1myerDKJLGxx34N5CLdppn3HVef2aj7jo5A.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_ohc=7uJiwsKWLqgQ7kNvwGuxhii&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6OTE3ODMzNjI3NDY0MzM3LCJhc3NldF9hZ2VfZGF5cyI6MTAsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjozNiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=51d9baf2f20756f2&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9BQzRBRDM2RTA2MEUyQTgyN0E3QzBBQTdDNjhEOTFBQV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzI4NDFDM0QwMjUxQzM0QUFBMDBGRjQ5RjdFQjVDREI4X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaiyp-1-bChAxUCKAJDMywXQEJRBiTdLxsYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=GUgFaItm56J4EaGd0o_mrw&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQH20d6MjEpqe0l1sqm3rVFtZQ-p6BLZgu3Aabb884qjig&oe=6A8F996A;https://www.instagram.com/reel/DcBsDJvK582/;No puedes abrir las notificaciones de la regularizaciónSígueme para más informacióngestoriaparainmigrantes#colombianosenelexterior #migrantes #españa #residencia #regularización;2026-08-14 10:59;Reel;106;33;139;;0:37
https://scontent-lhr6-1.cdninstagram.com/o1/v/t16/f2/m84/AQOazEKfTxrBK26_Dkpn5xpIoEH5xSZeRQNVTKwRY2FNdJ0BaSnzQ726To_q1DcH_-VG5qUhseI_lmndvecGT6loA0-DCSnJC79kPt8.mp4?_nc_cat=103&_nc_sid=5e9851&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_ohc=M09V_5mEcOkQ7kNvwGKxmpD&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjI0NzI0NTIxOTM4NzA0OCwiYXNzZXRfYWdlX2RheXMiOjEzLCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6OTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=980fed1c0817d272&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9CNTRDRTIxQTcwQzZFN0YwQUQ4ODYwNUNGOEI3ODc4QV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzY0NDYwODFEREMzOUYwQjAxM0QyNkEzOTVFM0E5QTgwX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbQ2rLQ8fb9BxUCKAJDMywXQFfZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=DJJLTS13H2MPTGPJ9AbyAw&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQHdGI5aFnPOfivzP1zLQOb9VdjcjFTdwzCRM7MSPp1dVg&oe=6A8F9699;https://www.instagram.com/reel/Db6BcBwqwjR/;Comenta la palabra ‘TOMA DE HUELLAS’ y te envío más información.Sígueme para más informacióngestoriaparainmigrantes#tomadehuellas #residencia #regularización #tie;2026-08-11 11:35;Reel;628;300;928;;1:35
https://scontent-lhr11-1.cdninstagram.com/o1/v/t16/f2/m84/AQNM7zmq2TR5CRPtBzacKpsPSLx48MRYYtcv7zpa2P0tKAjrbeGt-TK3gaZC4PgZm_14p1X7ziyfxxv8_WnXpXuTMauwZx-AQGS9nm4.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_ohc=Zsm-Xic14WgQ7kNvwGZN6A8&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTgxOTM2MzQ3MjgwNDY2NSwiYXNzZXRfYWdlX2RheXMiOjE1LCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6NDQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=6555fde1b1e9e806&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9DRjQ0NTMxODczMjNEM0NGODA0NjlDODBCOUM5RDBBM192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0M5NDE0NDQ2REJFNUYzQTBCOEQ3NjZEMkE4ODM4QThDX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbyrJyY8qy7BhUCKAJDMywXQEYEOVgQYk4YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=BT-PhM44QLA3QwxpY1NQcQ&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQFWdLzOmLNIR5Ypffxc53MCmw8kS9JPQ-3hHC_oOvdwXQ&oe=6A8F87AA;https://www.instagram.com/reel/Db02Q27q2lu/;Estados de la Regularización – Video 5: EN VÍA DE RECURSO📋📋Sígueme para más información gestoriaparainmigrantes #colombianosenelexterior #migrantes #españa #residencia #regularización;2026-08-09 11:19;Reel;108;11;119;;0:44
https://scontent-lhr11-1.cdninstagram.com/o1/v/t16/f2/m84/AQOLQchFnIHv2peKdTwBiJ_UkMZ0rPIlJ-GQZCFpUfhvzjA68n6dq1DZgjOBsYSltmkxFEZNKBgdd1Ujo2DwZqyHJnjW7iM72F_DlPo.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_ohc=TsYp_WDZySMQ7kNvwEYf29u&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODU3ODI5NTcwNTk0NzYzLCJhc3NldF9hZ2VfZGF5cyI6MTYsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo0OSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=28fe6d7005adc520&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC84QzQ0QUFCQUQ3MDkzMzlGNUMzM0I3QTAyNTEzRTVBNV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0UwNEMzNkJFRTE5OUJEMUZFQTM4NjE2QzcyOEY0MjlEX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaWn6qtoIyGAxUCKAJDMywXQEiEOVgQYk4YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=YDSWCarfnw2b5v7hHIM8eQ&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQFTQQ0s0qm9MxfcyIfNFTXGlmhiND6wbqBcbB-INof1-Q&oe=6A8F9987;https://www.instagram.com/reel/DbyR8hgq6P4/;❌Estados de la Regularización – Video 4: RESUELTO NO FAVORABLE❌Sígueme para más información gestoriaparainmigrantes #colombianosenelexterior #migrantes #españa #residencia #regularización;2026-08-08 11:22;Reel;284;36;320;;0:49
https://scontent-lhr6-1.cdninstagram.com/o1/v/t16/f2/m84/AQMara9rWtVpodSv_gizIfhL3WeJS6GJHxww_oYoIq84UoNZ4aM4FpREDst7ZCv11EwLbM-w0jdOvsVWmOUECqfaZ7Tuy16Msri01wU.mp4?_nc_cat=102&_nc_sid=5e9851&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_ohc=GezE96ulUbcQ7kNvwERoWnE&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTczNTAxMzIwNzc0MTE3MiwiYXNzZXRfYWdlX2RheXMiOjE3LCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6MzYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=22b5d9def489060a&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9BMTQ5NTU5QTkwRUQxOTFENTIzNjAzNkFFQjVBRTQ4RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0YxNEQxNTY2MTg5Qzk4QzVENzkwQ0QwMDY2OEY1MUFCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACboy-zeh_-UBhUCKAJDMywXQEIqn752yLQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=Cn86MpdxWbDhdxaYZBrwWw&edm=AL-3X8kEAAAA&_nc_zt=28&oh=00_AQFcBa5qeXabVAqWkSXMXrMiF2zwuPWDTCV-eoHnZMB8iQ&oe=6A8F9D02;https://www.instagram.com/reel/DbvsnGRqAIB/;Regularización archivada 📁⚠️Sígueme para más información #colombianosenelexterior #migrantes #españa #regularización #residencia;2026-08-07 11:18;Reel;162;33;195;;0:36
