Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakblU4ILZC/;Buenas tardes se puede canjear el mexicano?;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakblU4ILZC/;El de Venezuela?;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakblU4ILZC/;Tengo licencia de EEUU puedo canjear ?;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakMRdLIfsa/;Mi razón humanitaria se vence el 28/10/2026. Tengo que esperar hasta el agosto para cambiar de estatus???;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakMRdLIfsa/;Para los que llegamos esté año 2026? Podemos realizar ese trámite?;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakMRdLIfsa/;Hola buenos días, tenemos la hoja blanca desde el 30 de marzo 2026, llegamos el 15 de marzo 2026, podemos hacer el cambio? Somos venezolanos;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakMRdLIfsa/;Después de la segunda tarjeta se puede modificar en cualquier momento????;;Julio
09-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DakMRdLIfsa/;Buenas noches. Tengo carta blanca desde mayo 2026. Puedo entrar en elmproceso?;;Julio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Me interesa?;;Julio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Buenas noches, Pero las Razones Humanitarias no están suspendidas? Yo llegué en Mayo, puedo optar también. Por favor.;;Julio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Las razones humanitarias están suspendidas o no?;;Julio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Yo solicité mi cita, me presente hoy, tenia razones humanitarias, cumpli con mis requisitos, y me las dan por 5 años,;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;Licencia de : Venezuela? EEUU?;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;De Venezuela???;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;La venezolana?;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;Para venezuela?;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;Buen dia ya se puede canjer el carnet de conducir de Venezuela????;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;Holaaa yo perdí mi licencia tengo la consular apostilla consular en el año 2017 requiero información para poder solicitar el canje;;Julio
08-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dah57fGIMif/;Hola, pronto iré a visitar a mi hija a Madrid, para alquilar un vehículo allá puedo conducir con mi licencia de aquí de Venezuela?;;Julio
07-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/Dafzkcgou7f/;Hola me interesa . Cómo hago para contactarlo;;Julio
07-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/Dafzkcgou7f/;Hola cómo estás? Puedo hacerle una consulta?;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/DafbWI1oMmI/;Si todavía no se puede pero hay una comision de venezolanos en Madrid que están luchando para que se pueda activar de nuevo a España le conviene aquí nadie quiere trabajar conduciendo nosotros los venezolanos somos los únicos que nos arriesgamos a conducir sin licencia europea pero nos vemos obligados ya que no se consigue trabajo sin documentación y en negro viven estafando a las personas los explotan yo e Sido víctima infinidades de veces entonces pues prefiero entregar paquetería en moto así no tenga licencia que se va hacer;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Buen día, por favor Información para los que tenemos la primera carta blanca, que llegamos esté Año?;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Buenas tardes por favor una vez vencido el plazo del TIE al año y se pude la renovación por 4 años en qué momento se puede solicitar la nacionalidad española , gracias;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Aún se puede solicitar la ayuda humanitaria.?;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Como se solicita residencia humanitaria ?;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Información acerca de nacionalidad;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Buen dia si mi padre es español?;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Se puede solicitar ayuda humanitaria;;Julio
07-jul;tramitex.es;Instagram;Reel;https://www.instagram.com/tramitex.es/reel/Dae__JYoifp/;Hola! Que costo tiene la cita con ustedes? Para mayor información;;Julio
