Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;cuánto sale hacer ese trámite con ustedes?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los hermanos y sobrinos entran en la reagrupación familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Padres y hermanos entran a ese trámite de reagrupación??;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres no entran en la reagrupación familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los hermanos también entran en la reagrupacion?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Esperar ya casi dos meses, para que me llegue el Admitido a trámite, es una angustia total 😢;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Buenas tardes es normal que a la fecha no hayan admitido a trámite la solicitud de regularizacion , habiéndola presentado el 22 de abril de 2026?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DahnYeaOBGM/;Saludos! Ustedes se encargan también del Trámite de Modificación?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DahnYeaOBGM/;se puede viajar dentro de europa teniendo el permiso provisional que da la admisión a trámite?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DahnYeaOBGM/;Paul buen día, yo necesito el documento que tú dices que podrías darnos para presentar a la empresa por el tema de los 3 meses, como podría solicitarlo, gracias;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DahnYeaOBGM/;Buenos días. No consigo citas para recoger las tarjetas de mi hija y la mía. Es muy complicado. Cómo podrás ayudarme en eso? Por favor, gracias;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DahnYeaOBGM/;Buenos días Pau, realicé mi registro el día 21 de abril y hasta la fecha no tengo asignado NRO de NIE ni admisión a trámite, que podría hacer?;;Julio
