Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Muchas gracias Pau porque para mi y creo que para muchas tus vídeos donde explicas todo lo de extranjeria ha sido de gran ayuda. Yo en mi caso solo veo la información que tú nos brinda, gracias mil gracias. Dios te bendiga enormemente, eres único 🙏;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Excelente reflexión ..es como lo dice ,pero no desalentar a las personas ❤️;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Yo no sé qué se dice, pero aún espero pacientemente respuesta a mi regularización, aunque ya me ustedes me notificaron la administración a trámite, sin embargo mi tarjeta roja se vence😢 imagino que debo renovarla, esto no lo tengo claro;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;@abogadodeextranjeria a mí se me vence el 24 de agosto y escribi a policía de extranjería y me dicen que no la renuevan por qué ya tengo el trámite de la regularización en curso ... Solo tengo la admisión a trámite;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;No hay necesidad de llamar a preguntar, Yo fuí directamente a Renovarla, Si Tu tarjeta Roja se vence, Necesitas Renovarla sin más, Solo debes ir y decir que vienes a Renovar tu Tarjeta Roja y Listo, Ten en cuenta que ese es el Único Documento Legal que tienes, hasta que tengas tu Resolución Aprobada de La Regularizacón Masiva y tengas tu TIE, Por lo tanto debes tenerla Vigente.;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Me preocupa porque sigo intensamente buscando trabajo y como no tengo NIE aún no quieren contratarme y si no tengo los meses necesarios para renovar😮;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Graciaas!! Justo ayer vi el video de la otra abogada y me generó mucha incertidumbre... Pero como siempre no queda más que informarse y hacerlo con responsabilidad.;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Pau, cuando pides la vida laboral y trabajaste media jornada ahí no te cuenta por día trabajado. Ppr dónde se valida el total de días cómo lo explicas. Gracias.;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;😂😂😂😂 pero bueno los abogados han hecho su agosto con la regularización!! Mientras ninguno ha podido trabajar pero si pagar 300 y hasta 400 euros y aún algunos permanecen en negro, otros sin trabajar y algunos con suerte y ayuda de Dios trabajando! Pero cómo buenos inmigrantes y guerreros quedamos parao en la raya y esperando a ver qué pasa con todo esto! Ojalá y el gobierno se organice pronto y de una salida a todo este lío!😢;;Agosto
20-ago;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DcRfiX2R2UA/;Pau. Si una familia está ya en aceptación a trámites por la regulación y nace una bebé que cambia para ellos ahora la obtención de residencia y que trámites y como continuar ahora que hacer ? Gracias. Ellos son clientes suyos;;Agosto
