Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
20-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcRCYbTCL45/;si es TSU ?;;Agosto
19-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcOderBD_0T/;Información?;;Agosto
19-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcOderBD_0T/;Lo qué pasa es que a los Venezolanos desde que estamos chiquitos nos llenan la cabeza de que Estados Unidos es el mejor país en la bolita del mundo para vivir y terminamos metiendo la pata, mi familia y yo nos equivocamos por lo mismo y ahora mi esposo y yo hablamos y no nos explicamos porque nunca vimos a España como la primera opción para migrar, tenemos 10 años perdidos en USA, tenemos mucho que agradecerle a este país porque nos refugio durante todo este tiempo, pero la edad que tenemos este país no funciona para envejecer. Ahora queremos irnos a España lo más pronto posible para ver si recuperamos algo de tiempo que nos quede y aportar algo a la sociedad en España sobre nuestra profesión..;;Agosto
19-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcOderBD_0T/;@risolmariaperez Gracias por compartir vuestra historia. ❤️ Cada proceso migratorio es diferente y esperamos que esta nueva etapa en España sea muy positiva para vosotros. También te hemos enviado información por DM. 😊;;Agosto
19-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcOderBD_0T/;cada quien que haga lo que quiera;;Agosto
19-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcOderBD_0T/;Dr. Félix, saludos!! Pues si, España sigue siendo uno de los mejores países para migrar a pesar de todo lo que atraviesa, yo veo mucha gente que está aquí radicado ya hace años, que le quitan la voluntad y la iniciativa a otros de venir a radicarse, estudiar y salir adelante, les dicen que no hay trabajo, que esto está perdido.. y te juro que yo tengo ya 2 años y gracias a Dios nunca me ha faltado trabajo, sin papeles y con papeles, incluso tengo un grupo de WhatsApp donde se canalizan empleos y ayuda a las personas a encontrar empleo. Lo que pasa es que a veces la misma gente de uno, te quiere j0d3r, por eso uno prefiere estar solito caminando por la acera. 🤫;;Agosto
18-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcMlxfMjU6b/;Hola. Como es el proceso para obtener la residencia después del visado de estudios;;Agosto
18-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcMlxfMjU6b/;La claridad en sus comentarios reflejan un entendimiento de gran valor , el ser honesto en estos tiempos dignifica mucho a quien busca hacer las cosas bien .;;Agosto
18-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcMlxfMjU6b/;@josepaz1970 ¡Muchísimas gracias por tus palabras! 🙌 Ese es justamente nuestro objetivo: informar con claridad y honestidad para que puedan tomar buenas decisiones. ❤️;;Agosto
18-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcMlxfMjU6b/;@tomate26946 ¡Hola, Damelys! 🇻🇪 Te enviamos información por DM para que puedas conocer las opciones para venir a España.;;Agosto
18-ago;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DcMlxfMjU6b/;@espanaabogados SI VALE ERES SÚPER PRECISO Y ESO ES LO QUE QUEREMOS ' COMO ME PUEDO COMUNICAR CON TU DESPACHÓ?;;Agosto
