Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;@ligiatorres516 Mejor relato de nuestra realidad como Venezolana lo confirmo excelente relato. Gracias España te amo por siempre.;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;España tierra grande y empatico ante miles de emigrantes que confiaron y entraron abrazados a la esperanza que este país le brindó. Muchas gracias . Dios te bendiga 😍❤️🙌;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;La salud 🙌. Agradezco infinitamente a España el diagnóstico y TRATAMIENTO GRATUITO que le han brindado a mi madre de 75 años ...a mi Hijo que le dieron su carnet de discapacidad y le han dado beca estudiantil para que pueda tener sus terapias!!!! La seguridad a mis hijos y a mi familia que por ser caminar por las calles pudiendo hablar por el celular con tranquilidad y sin temor que te lo roben o que te quiten la cartera....fuera de la economía que si ha aumentado mucho el valor de los productos y el alquiler....la tranquilidad de tener salud y seguridad social son dos valores que agradezco mucho a este País aparte de otras cosas...Pero esas dos son las más importantes para mí.🙌🙌;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Gracias España. Quedan opciones para emigrar a España legalmente?;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Gracias España y como venezolano cuenta conmigo cuando así lo requieras y como yo hay Miles y saben a qué me refiero!!!;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Al llegar a España , sentí q era el país más malo del mundo... 3 años después, agradezco a Dios estar en esta tierra que siento q con 47 años q llegué , me enseñó y me sigue enseñando tanto! Es dura? Si... Es radical? Si.. pero aprendí hasta a botar la basura, con eso digo todo. Aprendí, después de trabajar 20 años en la administración pública de Venezuela, que el horario , si se cumple y si no, te botan, punto, aprendí a no faltar , aprendí a respetar el sueño y tranquilidad de los demás, aprendí a cruzar solo en el rallado y con luz verde , aprendí a seleccionar basura y ponerla en los contenedores , aprendí a usar el GPS, aprendí a esperar mi turno, a no adelantarme en las colas , a q todo tiene tiempo y que las 2 palabras con las q tengo q lidiar son PACIENCIA y PROCESO... El día q me vaya de España me voy queriéndola , me regaló la paz q en 47 años en mi país, jamás sentí , me regaló seguridad , me regaló tranquilidad , que hay q echarle bola , nojoda que si !!! Que no te vas hacer rico ? Pues no, pero la paz no se compra , agradecida siempre con mi bonita Valencia y mi querida España, Dios bendiga esta tierra ❤️;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Gracias abogado Félix España ha sido muy generosa con nosotros ❤️❤️❤️❤️ gracias linda patria gracias bonita bendita seas mil veces tú y tú población no hay palabras para agradecer todo lo que nos haz permitido vivir , a mí a mí familia mis hijas, mi nieto mi marido te agradecemos infinitamente 🙏🙏🙏🙏🙏 ❤️😗😍 nos duele que alguien quiera dañarte por qué no soportariamod vivir la misma historia con nuestra madre Adoptiva..Los venezolanos de bien jamás te fallaremos yo contigo ❤️❤️❤️ Amor 🤩 😍😍😍💞💞💞 y tú con nosotros;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Félix por fa, pon el vídeo que podamos descargarlo, quiero ponerlo en mi estado de WhatsApp completo. Saludos y gracias! Hace una semana fui a mí toma de huellas por razones humanitarias, concedida a mediados de abril, y sin aún saberlo, había tramitado la regularización extraordinaria mía y de mis hijos, a mediados de mayo me notifican y un día después sale la admisión a trámite de la extraordinaria, en tres y dos, recuerdo te pregunté en un live que qué hacía? Y me dijiste que fuera a mí toma de huellas, y así lo hice, aunque perdiera los reales de la tasa que ya había pagado de la extraordinaria 😂. Hace una semana fuimos a la toma de huellas, ahora solo espero mi TIE y la de mis hijos. De las últimas residencias por razones humanitarias concedidas, estuvieron la mia y la de mis hijos, y estoy agradecida 🙏🏽. Saludos.;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Significó darle una mejor calidad de vida a mi hijo, que conociera y viviera en un país donde lo común aquí era un privilegio allá….. Ayudar a los que se quedaron. Gracias 🇪🇸;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Este país nos abrazó cuando otros nos dieron la espalda. Gracias en toneladas a nuestra madre patria. ❤️;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Qué bonito! Me uno a ese sentir… ¡GRACIAS EAPAÑA! Cuando miles de países nos cerraban las puertas, con xenofobia y dificultades para regularizarnos, España nos tendió la mano! Y hoy mi hijo nacido aquí y yo nos llamamos orgullosamente también Españoles! 🇪🇸🇻🇪;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;"Amo a España como mi segundo país ,me dió la oportunidad de saber que cuando uno desa con pasión las cosas ,estás se cumplen ;.....ya soy Española ,aunque mis raíces nunca las olvido ,este gran país ,nos concedió una oportunidad y eso se agradece .....gracias España ,te Amo ,y sembré tus raices también en mi corazón .......❤️❤️❤️❤️❤️❤️";;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Wuaaaaa, yo escuchando tu narrativa y se me viene a la mente por todo lo que hemos tenido que pasar y es inevitable que no me caiga una basurita en los ojos y se me salgan las lágrimas. España nos ha acobijado por muchos años, no he sentido discriminación y me siento muy bien aquí. España gracia por tanto.;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;👏👏👏 justamente agradezco ese acto, estábamos muy mal 💔 casi de vuelta a Venezuela y no olvidaré cuando sacaron la residencia por razones humanitarias, desde allí nos cambió todo y no puedo hacer más que agradecer y hacer las cosas bien y mejor, no cambio España por otro país. Amo este país.;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;No voy a negar que actualmente estoy atravesando momentos difíciles. Hay situaciones que me han causado dolor, preocupación e incertidumbre. Como cualquier persona, he tenido que enfrentar obstáculos que a veces parecen muy grandes. Sin embargo, sigo creyendo en la justicia, en la verdad y en las personas de buen corazón. Por eso hoy quiero pedir algo muy sencillo: que nunca perdamos la capacidad de escucharnos, comprendernos y ayudarnos unos a otros. Todos tenemos una historia detrás, una lucha que muchas veces nadie conoce. Un gesto de apoyo, una palabra amable o una oportunidad pueden cambiar la vida de una persona para siempre. A España le doy las gracias por todo lo que me ha dado y por todo lo que sigo aprendiendo aquí. Y a cada español y española que alguna vez me ha brindado respeto, amistad o apoyo, les digo de corazón: gracias. Gracias por hacerme sentir bienvenido, por compartir conmigo su cultura, sus valores y su humanidad. Confío en que la verdad siempre encuentra su camino y que la justicia llega para quienes actúan con honestidad. Mientras tanto, seguiré adelante con humildad, trabajando, luchando por mis sueños y aportando lo mejor de mí a esta sociedad que me ha acogido. Que Dios bendiga a España, a Venezuela y a todas las personas que creen en el respeto, la convivencia y el amor entre los pueblos. Con todo mi cariño y gratitud, ❤️👏🙏;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Parai España es un país de gente con calidad humana, yo llegue enmel 2023 y desde entonces solo le doy gracias a Dios porctbata bendición , tengo ya mi proceso de regularización y en cuanto a salud soy gracias a Dios por este maravilloso pais, me han atendido de manera especial , mi salud haejorado en un 100/100. La paz y la tranquilidad es única. Hay oportunidades de estudios gratuitos, de avance. No se vivirá con lujos pero se vive tranquilo no pensando que sales a l calle y escuchas un motorizado y tiemblas como en nuestro país pensando que te van atracar. Aquí nadas a cualquier hora del día y andas relajado. La comida bien económica y exquisita , muy sana su gastronomía. El transporte publico funciona excelentemente. Gracias Dios por este maravilloso pais, siguelo bendiciendo en gran manera, cúbrelo con tu sangre. En el nombre de Jesús . Gracias España;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;Sin palabras, solo basta saber lo que vive un inmigrante para entender cuánto vale ese gesto. Felicidades para todos los que lo lograron, yo le agradezco a España por haber acogido a todos esos valiosos venezolanos que hoy tienen un país en donde estar!!! Agradecida con el corazón 💓 en la mano aunque España no fue mi destino.;;Junio
12-jun;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DZfhAygARAl/;se cerro por culpa de los gringos que andan diciendo que Vzla se arreglo, solo porq ellos se estan robando el petroleo,prefiero ser parte de españa de nuevo y no el patio trasero de los gringos😢😢😢, nos estan saqueando al mejor estilo Cubano, que cambio?;;Junio
09-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/Dak6o-JD_g3/;Los hermano pueden solicitar reunificación familiar?;;Julio
09-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/Dak6o-JD_g3/;Mi hermana es residente y está en España yo estoy en usa ella me puede pedir ?;;Julio
09-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/Dak6o-JD_g3/;Y si tiene la residencia mi hijo su hermano el puede darle cobijo que paso seria;;Julio
09-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/Dak6o-JD_g3/;Q pasa si las dos están fuera de España? Se podría hacer por un consulado ?;;Julio
08-jul;espanaabogados;Instagram;Post;https://www.instagram.com/espanaabogados/p/DahmAg9tSMD/;https://www.instagram.com/p/DahdUfsIrxy/?igsh=MTJ4YTdmcnh6dTFndg==;;Julio
06-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DadPb90FYEn/;Bella como siempre.;;Julio
06-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DadPb90FYEn/;Yo quiero agrupar a mi hija y mi sobrina porque donde ella vivían no pueden vivir por lo del terremoto;;Julio
06-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DadPb90FYEn/;Hola abogada que tal soy de aquí de Venezuela y estoy afectado por el terremoto que hubo recientemente quiero una pequeña asesoría suya si no es mucha molestia 🙏🏽;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola. Yo tengo nacionalidad española y mis familiares perdieron su casa (papá, mamá, hermano, cuñada y sobrinos. Que podría hacer para cada caso? Gracias por la ayuda! ❤️;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@adrian_duarte En el caso de tus padres podríamos evaluar las posibilidades de presentar residencia para familiar de ciudadano español, por otra parte, en el supuesto de los demás familiares te sugerimos evaluar diferentes tipos de estancia o residencia para que sus solicitudes puedan tener mayor probabilidad de éxito.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola, estoy gestionando la modificación de mi tarjeta, el próximo Año por ésta fecha solicito mi nacionalidad. Con mi segunda tarjeta de residencia puede reagrupar a mi hijo de 30 años ?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola tengo nacionalidad española. Mi madre venezolana. Ella tiene 63 años. Normalmente le envío dinero por wester. El tema es que ella vive con mi hermana, sobrino y cuñado. Hay algo que se pueda hacer para traerlos a ellos que se vieron afectados por el terremoto?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Quiero hablar con ustedes cómo lo hago;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Y si mis padres están aquí de visita se pueden quedar?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@jmgonzalez1987 eres español?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola! Me interesa esta asesoría gratuita. ¿Cuánto y cómo la debo agendar?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@vanedlgado es un trámite por Residencia de Familiares de Españoles, como tiene menos de 80 es necesario acreditar dependencia pero teniendo en cuenta la situación es viable.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@espanaabogados gracias! Tiene que estar en Vzla o lo podemos hacer estando aquí?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Saludos mi Madre tiene 66 años es ciudadana Española hace 8 años ( se casó con un español) yo con 48 años siendo su hija optó x la nacionalidad ? Gracias quedó atenta;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Yo tengo la tarjeta roja, y esperando que me salga la regularización y la residencia! Osea no puedo ?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Me gustaría traerme a mi mamá que está en Caracas;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola tengo residencia temporal por 5 años por arraigo familiar por tener una hija menor de edad española, puedo traer a mí madre y hacer reagrupación familiar??;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@gabriel_fiorella2204 puedes reagrupar siempre que hayas finalizado el primer año de residencia, debes acreditar medios económicos suficientes y un informe de vivienda adecuada.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Tengo residencia por asuntos humanitarios se me vence en diciembre quiero traerme a mi mama de Venezuela por ………, como puede regularla aquí conmigo tengo 35 años, un piso propio y trabajo fijo…. AYUDA PORF🙌;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@rmhy172127 Si tienes Recidencia por circunstancias excepcionales (por razones humanitarias) te recomendamos puedas modificar por una residencia por régimen de cuenta ajena tal y como nos indicas que tienes trabajo fijo, o por régimen de cuenta propia en caso de que estés dada el alta como autónomo. Recuerda que la tarjeta de residencia podrás modificar dos meses antes o tres meses después teniendo en cuenta el vencimiento de la misma. Es importante conocer si esta es tu primera, segunda o tercera tarjeta por RH ya que depende de ello para que puedas solicitar posiblemente la nacionalidad española por residencia. Opciones con respecto a tu madre existen, en tal sentido puedes agendar una consulta para poder darte más detalles en tu caso en particular. Un saludo;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@espanaabogados es obligatorio modificar la residencia o puedo renovar la de razones humanitarias?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola! Tengo residencia como profesional altamente calificado. Mi hermana entro por estancia de turismo. A raíz de lo sucedido, hay alguna forma para prorrogarle la estancia?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola, tengo 8 años acá en España. Tengo doble nacionalidad, mi madre está en Venezuela, no he podido reagruparla por el tema de su edad, ella tiene 55. Y mis envíos de dinero no eran mensuales, sin embargo acá tengo un hogar para ella! Esos dos requisitos aún son principales?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@carla9_90 Hola Carla, entendemos que tienes la nacionalidad española. Con ocasión de lo acaecido en Venezuela, el criterio quizás puede verse flexibilizado en este sentido ya que estamos frente a circunstancias excepcionales. Por esa razón te invitamos a que nos escribas un DM con tus datos personales y el motivo de tu consulta para agendar una consulta gratis de 15 minutos, en donde te podremos comentar de las vías disponibles para que puedas traer a tu mamá legalmente.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;¿Me podria traer a mi madre y hermano?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@mirna_torrealba tendríamos que valorar las circunstancias tanto tuyas como de tus familiares. Escríbenos por DM.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Soy Española por residencia. Tras la tragedia, mi papá (69años) quedó sin vivienda. También mi tío materno con sus dos hija (quedo viudo) y sin viviendas. Como podria ayudarlos? Aplicaría para ambos este trámite?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@danielavaldiviesoo existe mayor probabilidad de éxito en caso de solicitudes para familiares directos, ya que podemos evaluar la posibilidad de solicitar residencia para familiar de ciudadano español, en caso de familia extensa recomendamos evaluar otras formas de estancia o residencia en la que ellos puedan ser titulares para que puedan ingresar de manera legal al territorio español.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Soy venezolana y vivo en Venezuela estoy casada con una venezolano pero mi hija y yo tenemos nacionalidad española. Pero mi hijo aún no tiene su nacionalidad en este caso como. Hace uno para. Tener esta oportunidad de. Emigra yo no tengo familia. En España ya que mis. Abuelo. Emigraron a Venezuela a la edad de 8 año;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola tengo residencia por familiar español quiero traerme mi hermana mi sobrino mi hermano y dos primas mi papá y mi mamá como hago cuanto me sale el trámite;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@el_pibe82_ tendremos que revisar el tiempo de residencia que tienes y bajo cuál supuesto te encuentras. Hay posibilidades de acreditar el carácter humanitario para tus padres pero para el resto del núcleo familiar tendríamos que analizar otras opciones. Escríbenos al DM;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@el_pibe82_ y al perro y el gato ?... Si no hay alquileres y en Andalucía difícil con el nuevo gobierno, no hay ayuditas;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@janfer26 la solicitud a presentar es la residencia como familiar de español por la edad y el carácter humanitario podrás tramitarlo, deberás acredita vínculo y tu padre tendrá que presentar antecedentes penales.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@espanaabogados algo complicado ahora mismo porque me imagino como estará la situación en las instituciones para que el pueda solicitar antecedentes penales ..me aprecio extraño teniendo mi padre ya 78 años pero muchísimas gracias de todos 🤜🤛👍🏽;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Se puede traer hermano?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@yamilca14 posiblemente no con la figura de reagrupación, tendríamos que estudiar mejor el caso. Envíanos un DM.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Que familiares se pueden reagrupar?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Soy española y mi hermana de 59 y sobrina de 28 están en Venezuela, un país quebrado … cómo hacer para reagruparlas conmigo;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Mi padre y hermano son españoles por residente yo tengo un mes aquí en España cómo puedo arreglar mi estatus;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@yeffersonmar lo oportuno es que pueda agendar una consulta con nosotros, puedes dejarnos tus datos y el motivo de la misma, para que un panel de expertos puedan conocer tu caso y plantearte según tu perfil, (necesitamos conocer más detalles), la vía más adecuada para que no quedes en status irregular.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Tengo la residencia de la regularización masiva , es posible traerme a mi mamá ?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola soy ciudadano comunitario residente en España desde 2022. en diciembre 2025 vino mi abuela paterna (95años) y desde entonces vive conmigo empadronada hay posibilidad de alguna residencia?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@reyes.jolet que debo hacer?;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@iits.ivaaa la única manera que se pueda reagrupar si es menor de 65 años es que sea un indigente tu padre . Qie esté en extrema vulnerabilidad o tiene un grado de discapacidad severo que le impide valerse por sí mismo, dependiendo por completo del cuidado del hijo/a. Es el único progenitor vivo (viudedad) y se encuentra en una situación de desamparo o aislamiento social grave en su país. Y casos como este pocos . Porq en Venezuela tiene varios hijos .;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Quiero re agrupar a mí madre pero tiene 60 años tendría que acreditar dependencia económica en esta situación??? @espanaabogados;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;@lauracristinam si eres nacional española puedes solocotarle residencia por ser ascendiente de un español, sin embargo hay posibilidad de saltar el requisito de la dependencia por la circunstancia excepcional que está viviendo por la catástrofe natural sobrevenida;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Llegué aquí hace 2 meses y medio soy venezolana, me dijeron que tengo que esperar los dos años, pero no hay nada, que me ayude a entrar en un proceso legal, lo único que tengo es empadronamiento y ya disculpe.;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola, mi prima, cuyo padre era español, falleció en el terremoto, aún ni siquiera han podido recuperar su cuerpo, que esta tapiado por el colapso del edificio, su hija, de 50 años quedó viva, junto con su esposo y su hija menor, ya que su hijo varón ( nieto de mi prima) tambien falleció, perdieron su casa, ademas del luto, están sin hogar, puedo pedirlos yo?? Que requisitos necesitan;;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;"Familiares ya en España en periodo aún de turismo, que se vieron afectados sus hogares; ¿Podrían aplicar desde España para este proceso? ¿Cuales son los medios económicos que debe acreditar el nacional español? Muchas gracias!";;Julio
01-jul;espanaabogados;Instagram;Reel;https://www.instagram.com/espanaabogados/reel/DaPnvZitj0b/;Hola yo tengo nacionalidad española y me gustaría traerme a mi mamá que está en Caracas;;Julio
