Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;La cita de las huellas la pido yo, o me la dan ustedes?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;cuánto sale hacer ese trámite con ustedes?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Cómo puedo pedir cita para una reagrupación familiar de un hijo;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres entran a ese trámite de reagrupación?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los hermanos y sobrinos entran en la reagrupación familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Mi esposo hizo la regularización, me pueden dar el permiso de residencia a mi?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;@aimar.bci no estas escuchando que si?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Y afecta para el canje de la licencia, tengo entendido que uno tiene un periodo de 6 meses para hacer el trámite pero como empieza a computar desde el admitido a tramite;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Buenas una consulta? Porque demoran las solicitudes solo salen en trámite es normal k demoren? O en cuantos meses está eso?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres entran en el trámite de reagrupación?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres no entran en la reagrupación familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Padres y hermanos entran a ese trámite de reagrupación??;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los hermanos también entran en la reagrupacion?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Si mi pareja y mi hija ya están acá puedo igual hacerlo? Por qué ellos recién llegaron en junio ? @abogadodeextranjeria;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Si se tiene dos hijas mayores sin discapacidad, pero solteras, se puede agrupar ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Y si mis padres están dentro de la territorio que sucede. ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Quiero saver si le puedo hacer reagrupación a mi madre y mi hermano que es menor;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los hermanos entran en la reagrupación familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola , y los padres?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Tengo un mes que deposite y no recibo noticias de nada 😢😢😢 es poco tiempo para esperar respuesta ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Y los padres?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres entran?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Lo tiempo com tarjeta roja cuenta también?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Paul ase poco nació mi hija cómo es para la nacionalidad por simplepersucion somos colombianos;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola Pau, tengo nacionalidad Española… yo puedo reagrupar a mi abuela materna? Está en Venezuela.;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los hijos mayores de 26 yo con nacionalidad española??🙌;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola Pau los padres y hermanos entran en la reagrupación familiar. ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Dónde nosotros residimos tenemos puros malandros alrededor de vecinos que están insultandonos y amedrentandonos y atacandonos a diario todo el día, con gritos y groserías en contra de nosotros, nadie hace nada al respecto, todos los días los denunció por redes sociales, tenemos temor por nuestras vidas, porque nos atacó la policía de Madrid, sin tener antecedentes penales ni antecedentes psiquiátricos, todo aquí en España y la gente nos ataca cuando salimos a la calle, nos insultan y nos manotean en la cara y en las espaldas. Estamos en calle de cantalapiedra 6. En línea 1 del metro Pinar de Chamartín Valdecarros. Son bandas criminales;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;https://www.instagram.com/p/DanC-EnI8Pp/?igsh=MW9mbXliOHU2eG1sOQ==;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola buen día padres y hermanos entran en la reagrupación familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola me ha llegado un documento para ir al sistema de salud y quedaron en enviarme una tarjeta. Ahora que debo hacer.;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;tengo un hijo español mayor de edad (25 años) , aplico como padre estando en España ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;De hijo a madre, se puede?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola Abogado los hijos padres?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Los padres entran en esta agrupación?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Y si el familiar se encuentra en España ? Es posible?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Hola abogado mi esposa he hijos menores están es españa ellos lograron entrar en la regularización yo estoy en estados unidos la pregunta es mi esposa podría pedirme por reagrupacion familiar?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Mi hijo de 21 años entra en la reagrupación?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Football y’a voy me permite no se como puedo entrar en el campo del mister ?;;Julio
10-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/DanHZ2Pu3bS/;Padres ancianos?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Esperar ya casi dos meses, para que me llegue el Admitido a trámite, es una angustia total 😢;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Buenas tardes es normal que a la fecha no hayan admitido a trámite la solicitud de regularizacion , habiéndola presentado el 22 de abril de 2026?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Hola qué tal, me ayudas con una duda, con la admisión a trámite se puede pasar a diferentes países de la unión europea?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@carlosfrancisco.suarez.395 No, es admitido a trámite solo para España. Cuando ya tengas la TIE podrás viajar fuera de España, pero solo viajar, no te permite trabajar dentro de la UE.;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Hola Pau. Mi caso aún no ha sido admitido a trámite (no me llegó el correo) pero si ya me han asignado NIE y me ha llegado por correo físico el número de la seguridad social , todo esto sin admitirse a trámite, es normal ?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Gracias 👏por tu responsabilidad como abogado Pau y como ser humano, gracias 👏👏👏;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Soy migrante y aun estoy esperando mi trámites ya que hace como 3 meses subí mis documentación para la regularización;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Pau una ayuda que me le hago entender ala empresa que por acabar el plazo de los 3 meses me dice que está vencido mi permiso ayuda porfavor;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Claro eso lo sabemos pero como le digo ala empresa que entienda eso;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Pregunta: cuanto están tardando en dar el favorable alguien lo sabe?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@diana0925 te llegó después de la admisión?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@diana0925 En la primera notificación que información te dieron?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Tan bello hijo no querías crear ansiedad y preocupación para toda esta comunidad que te admira y quiere! Bravo!!!?;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;mucho cuidado de este WhatsApp 632529671 están intentando estafar, te hacen videollamada haciendose pasar por @Ventura Extranjería Abogados Pau con IA ( me emocioné al verlo y hablar con él, no voy a negarlo) pero cuando me ofreció empleo y luego me dijo que había que pagar un exámen de admisión por 830€ supe que algo estaba mal, empecé a sacarle información haciéndole creer que iba a pagar este dinero, es increíble como te convencen y manipulan, seguro que hay mucha gente que va a caer, llame a denunciar pero dicen que no pueden hacer nada porque he sido la única persona que he informado de un caso así, si tienen este contacto, pidan empleo, cuando tengan información denuncien para que no caigan compatriotas 🙏🏻;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;El problema es que hay más del doble de expedientes que pronosticaron, mucha gente con padrón, antecedentes falsos están colados, de otras partes de la UE que no han podido regularizarse en otros países colados también.;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;"@giancarlomogollon1005 Bot serás tú con 200 seguidores, mientras los españoles sigamos tirando del carro; a vivir que son dos días. Cuando dejemos de tirar del carro, España va a terminar como vuestros países...";;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@giancarlomogollon1005 bot facho ???? Necesito traductor por favor 🤣🤣;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Pau explicamos lo que está sucediendo en Andalucía con los inmigrantes y los cambios que están haciendo;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Señores migrantes que pronto tendrán ciudadanía española por favor los que piensen votar luego recordar quienes quisieron tumbar la regularización.;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@josbert17 y te fuiste a España donde gobierna la izquierda JAJAJAJA;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@jorgeecra parece que borró el comentario? 😝;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@walterseijas lo que no entiendo es porque un inmigrante que está viviendo en un país gobernado por la izquierda que le está dando documentos dice que no votaría por ellos entoces que hace aquí 🤔🤔🤔;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@josbert17 pero amigo, dices que no votas por la izquierda pero fuiste a vivir en un país donde gobierna la izquierda, decidase jajajaja;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;@josbert17 y Que haces aquí ? Espero que seas el primer deportado. Vendudo. Igual que los latinos for trump. Cuando vas a entender que a la derecha le importas una papa ? Si la izquierda es una mierda pero la derecha es peor para alguien como tú.;;Julio
08-jul;abogadodeextranjeria;Instagram;Reel;https://www.instagram.com/abogadodeextranjeria/reel/Dah-rYhuOmY/;Tu crees que la izquierda te quiere mucho? Jajaja solo quieren tu voto y ya.;;Julio
