Dia;Cuenta;Red Social;Tipo de publicacion;Enlace;Comentario;Tema principal;Mes
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;Buenas tardes me gustaría. Sacar una cita.;;Junio
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;Tienen oficina en república Dominicana;;Junio
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;me das información como desde Colombia;;Junio
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;Hola soy de cali como puedo tener cita;;Junio
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;Hola había solicitado una cita para hoy a las 9h ,no recibi la llamada;;Junio
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;Hola tienen contacto de wasap porfa?;;Junio
24-jun;abogadodeextranjeria;Instagram;Post;https://www.instagram.com/abogadodeextranjeria/p/DZ-zjjIR5Cx/;Hola necesito cita virtual ayuda gracias;;Junio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Yo solicité mi cita, me presente hoy, tenia razones humanitarias, cumpli con mis requisitos, y me las dan por 5 años,;;Julio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Buenas noches, Pero las Razones Humanitarias no están suspendidas? Yo llegué en Mayo, puedo optar también. Por favor.;;Julio
08-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaiSlykIxs2/;Me interesa?;;Julio
06-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/Dacs2-jKcZv/;No solo por arraigo aplica para todo;;Julio
06-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/Dacs2-jKcZv/;Tengo admiso en trámite pero aún no lo he encontrado. Esto afectará mi expediente? Solo abrí la solicitud hace cuatro días.;;Julio
03-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaU9M-6KOP8/;Pero hay empresas que no aceptan ese permiso para trabajar.;;Julio
03-jul;tramitex.es;Instagram;Post;https://www.instagram.com/tramitex.es/p/DaU9M-6KOP8/;Porque está llegando el número de seguridad social primero ? Estoy solo con esa notificación desde el 17 de abril 😢;;Julio
